university_name,year,subject_type,major_group,subject_requirement,min_score,min_rank
清华大学,2024,物理类,04专业组,不限,694,70
清华大学,2024,物理类,05专业组,化学,690,100
北京大学,2024,物理类,05专业组,化学,692,85
复旦大学,2024,物理类,04专业组,化学,689,107
复旦大学,2024,物理类,05专业组,化学,676,596
复旦大学,2024,物理类,06专业组,化学,672,887
上海交通大学,2024,物理类,04专业组,化学,690,100
上海交通大学,2024,物理类,03专业组,化学,676,596
浙江大学,2024,物理类,04专业组,化学,677,530
中国科学技术大学,2024,物理类,01专业组,化学,674,727
