year,subject_type,score,rank
2025,物理类,683,126
2025,物理类,682,144
2025,物理类,681,164
2025,物理类,680,196
2025,物理类,679,227
2025,物理类,678,261
2025,物理类,677,294
2025,物理类,676,338
2025,物理类,675,385
2025,物理类,674,443
2025,物理类,673,506
2025,物理类,672,570
2025,物理类,671,649
2025,物理类,670,728
2025,物理类,669,830
2025,物理类,668,937
2025,物理类,667,1039
2025,物理类,666,1147
2025,物理类,665,1257
2025,物理类,664,1381
2025,物理类,663,1521
2025,物理类,662,1663
2025,物理类,661,1835
2025,物理类,660,2027
2025,物理类,659,2209
2025,物理类,658,2414
2025,物理类,657,2618
2025,物理类,656,2847
2025,物理类,655,3081
2025,物理类,654,3281
2025,物理类,653,3556
2025,物理类,652,3805
2025,物理类,651,4082
2025,物理类,650,4363
2025,物理类,649,4675
2025,物理类,648,4973
2025,物理类,647,5310
2025,物理类,646,5633
2025,物理类,645,5985
2025,物理类,644,6362
2025,物理类,643,6732
2025,物理类,642,7121
2025,物理类,641,7529
2025,物理类,640,7928
2025,物理类,639,8362
2025,物理类,638,8837
2025,物理类,637,9279
2025,物理类,636,9765
2025,物理类,635,10262
2025,物理类,634,10750
2025,物理类,633,11248
2025,物理类,632,11769
2025,物理类,631,12320
2025,物理类,630,12829
2025,物理类,629,13359
2025,物理类,628,13915
2025,物理类,627,14487
2025,物理类,626,15099
2025,物理类,625,15713
2025,物理类,624,16379
2025,物理类,623,17028
2025,物理类,622,17706
2025,物理类,621,18319
2025,物理类,620,19004
2025,物理类,619,19674
2025,物理类,618,20349
2025,物理类,617,21043
2025,物理类,616,21735
2025,物理类,615,22495
2025,物理类,614,23214
2025,物理类,613,23947
2025,物理类,612,24769
2025,物理类,611,25515
2025,物理类,610,26330
2025,物理类,609,27150
2025,物理类,608,27965
2025,物理类,607,28841
2025,物理类,606,29638
2025,物理类,605,30492
2025,物理类,604,31362
2025,物理类,603,32190
2025,物理类,602,33069
2025,物理类,601,33985
2025,物理类,600,34888
2025,物理类,599,35803
2025,物理类,598,36724
2025,物理类,597,37720
2025,物理类,596,38685
2025,物理类,595,39620
2025,物理类,594,40639
2025,物理类,593,41599
2025,物理类,592,42525
2025,物理类,591,43570
2025,物理类,590,44618
2025,物理类,589,45633
2025,物理类,588,46626
2025,物理类,587,47686
2025,物理类,586,48740
2025,物理类,585,49806
2025,物理类,584,50891
2025,物理类,583,51945
2025,物理类,582,52996
2025,物理类,581,54119
2025,物理类,580,55261
2025,物理类,579,56445
2025,物理类,578,57591
2025,物理类,577,58764
2025,物理类,576,59905
2025,物理类,575,61029
2025,物理类,574,62232
2025,物理类,573,63454
2025,物理类,572,64677
2025,物理类,571,65871
2025,物理类,570,67133
2025,物理类,569,68338
2025,物理类,568,69540
2025,物理类,567,70814
2025,物理类,566,72122
2025,物理类,565,73284
2025,物理类,564,74582
2025,物理类,563,75837
2025,物理类,562,77093
2025,物理类,561,78396
2025,物理类,560,79711
2025,物理类,559,81013
2025,物理类,558,82292
2025,物理类,557,83617
2025,物理类,556,84862
2025,物理类,555,86192
2025,物理类,554,87528
2025,物理类,553,88855
2025,物理类,552,90193
2025,物理类,551,91583
2025,物理类,550,92971
2025,物理类,549,94329
2025,物理类,548,95642
2025,物理类,547,96973
2025,物理类,546,98331
2025,物理类,545,99722
2025,物理类,544,101161
2025,物理类,543,102526
2025,物理类,542,103949
2025,物理类,541,105341
2025,物理类,540,106680
2025,物理类,539,108073
2025,物理类,538,109484
2025,物理类,537,110914
2025,物理类,536,112293
2025,物理类,535,113739
2025,物理类,534,115115
2025,物理类,533,116554
2025,物理类,532,117992
2025,物理类,531,119385
2025,物理类,530,120767
2025,物理类,529,122198
2025,物理类,528,123539
2025,物理类,527,125021
2025,物理类,526,126402
2025,物理类,525,127836
2025,物理类,524,129305
2025,物理类,523,130715
2025,物理类,522,132082
2025,物理类,521,133470
2025,物理类,520,134945
2025,物理类,519,136395
2025,物理类,518,137742
2025,物理类,517,139203
2025,物理类,516,140608
2025,物理类,515,142068
2025,物理类,514,143440
2025,物理类,513,144772
2025,物理类,512,146160
2025,物理类,511,147536
2025,物理类,510,148936
2025,物理类,509,150364
2025,物理类,508,151737
2025,物理类,507,153112
2025,物理类,506,154519
2025,物理类,505,155895
2025,物理类,504,157259
2025,物理类,503,158579
2025,物理类,502,159919
2025,物理类,501,161261
2025,物理类,500,162612
2025,物理类,499,163926
2025,物理类,498,165225
2025,物理类,497,166591
2025,物理类,496,167921
2025,物理类,495,169250
2025,物理类,494,170582
2025,物理类,493,171881
2025,物理类,492,173223
2025,物理类,491,174488
2025,物理类,490,175732
2025,物理类,489,177018
2025,物理类,488,178268
2025,物理类,487,179556
2025,物理类,486,180771
2025,物理类,485,182030
2025,物理类,484,183221
2025,物理类,483,184370
2025,物理类,482,185582
2025,物理类,481,186727
2025,物理类,480,187938
2025,物理类,479,189076
2025,物理类,478,190184
2025,物理类,477,191363
2025,物理类,476,192448
2025,物理类,475,193550
2025,物理类,474,194703
2025,物理类,473,195768
2025,物理类,472,196830
2025,物理类,471,197910
2025,物理类,470,198992
2025,物理类,469,200008
2025,物理类,468,201036
2025,物理类,467,202012
2025,物理类,466,202992
2025,物理类,465,204004
2025,物理类,464,204991
2025,物理类,463,205975
