year,subject_type,score,rank
2023,物理类,687,116
2023,物理类,686,142
2023,物理类,685,175
2023,物理类,684,209
2023,物理类,683,236
2023,物理类,682,272
2023,物理类,681,319
2023,物理类,680,375
2023,物理类,679,430
2023,物理类,678,493
2023,物理类,677,557
2023,物理类,676,624
2023,物理类,675,688
2023,物理类,674,762
2023,物理类,673,862
2023,物理类,672,947
2023,物理类,671,1048
2023,物理类,670,1162
2023,物理类,669,1291
2023,物理类,668,1412
2023,物理类,667,1547
2023,物理类,666,1691
2023,物理类,665,1847
2023,物理类,664,2019
2023,物理类,663,2183
2023,物理类,662,2371
2023,物理类,661,2577
2023,物理类,660,2754
2023,物理类,659,2949
2023,物理类,658,3165
2023,物理类,657,3398
2023,物理类,656,3625
2023,物理类,655,3869
2023,物理类,654,4113
2023,物理类,653,4396
2023,物理类,652,4642
2023,物理类,651,4919
2023,物理类,650,5238
2023,物理类,649,5542
2023,物理类,648,5893
2023,物理类,647,6253
2023,物理类,646,6589
2023,物理类,645,6898
2023,物理类,644,7265
2023,物理类,643,7655
2023,物理类,642,8030
2023,物理类,641,8447
2023,物理类,640,8828
2023,物理类,639,9243
2023,物理类,638,9656
2023,物理类,637,10153
2023,物理类,636,10611
2023,物理类,635,11117
2023,物理类,634,11592
2023,物理类,633,12049
2023,物理类,632,12571
2023,物理类,631,13100
2023,物理类,630,13586
2023,物理类,629,14096
2023,物理类,628,14616
2023,物理类,627,15132
2023,物理类,626,15651
2023,物理类,625,16212
2023,物理类,624,16747
2023,物理类,623,17334
2023,物理类,622,17907
2023,物理类,621,18502
2023,物理类,620,19102
2023,物理类,619,19694
2023,物理类,618,20291
2023,物理类,617,20902
2023,物理类,616,21589
2023,物理类,615,22199
2023,物理类,614,22856
2023,物理类,613,23567
2023,物理类,612,24194
2023,物理类,611,24840
2023,物理类,610,25495
2023,物理类,609,26160
2023,物理类,608,26857
2023,物理类,607,27544
2023,物理类,606,28267
2023,物理类,605,28961
2023,物理类,604,29715
2023,物理类,603,30376
2023,物理类,602,31134
2023,物理类,601,31865
2023,物理类,600,32621
2023,物理类,599,33366
2023,物理类,598,34106
2023,物理类,597,34853
2023,物理类,596,35650
2023,物理类,595,36406
2023,物理类,594,37178
2023,物理类,593,37931
2023,物理类,592,38767
2023,物理类,591,39518
2023,物理类,590,40321
2023,物理类,589,41158
2023,物理类,588,42008
2023,物理类,587,42827
2023,物理类,586,43656
2023,物理类,585,44515
2023,物理类,584,45409
2023,物理类,583,46257
2023,物理类,582,47113
2023,物理类,581,47954
2023,物理类,580,48831
2023,物理类,579,49755
2023,物理类,578,50594
2023,物理类,577,51455
2023,物理类,576,52349
2023,物理类,575,53220
2023,物理类,574,54145
2023,物理类,573,55137
2023,物理类,572,56020
2023,物理类,571,56968
2023,物理类,570,57928
2023,物理类,569,58807
2023,物理类,568,59798
2023,物理类,567,60724
2023,物理类,566,61773
2023,物理类,565,62692
2023,物理类,564,63653
2023,物理类,563,64500
2023,物理类,562,65451
2023,物理类,561,66451
2023,物理类,560,67391
2023,物理类,559,68330
2023,物理类,558,69273
2023,物理类,557,70200
2023,物理类,556,71147
2023,物理类,555,72167
2023,物理类,554,73152
2023,物理类,553,74111
2023,物理类,552,75102
2023,物理类,551,76116
2023,物理类,550,77082
2023,物理类,549,78084
2023,物理类,548,78998
2023,物理类,547,79956
2023,物理类,546,80934
2023,物理类,545,81926
2023,物理类,544,82962
2023,物理类,543,83977
2023,物理类,542,84967
2023,物理类,541,85961
2023,物理类,540,86936
2023,物理类,539,87985
2023,物理类,538,89031
2023,物理类,537,90080
2023,物理类,536,91098
2023,物理类,535,92078
2023,物理类,534,93121
2023,物理类,533,94093
2023,物理类,532,95097
2023,物理类,531,96123
2023,物理类,530,97144
2023,物理类,529,98179
2023,物理类,528,99220
2023,物理类,527,100233
2023,物理类,526,101268
2023,物理类,525,102240
2023,物理类,524,103298
2023,物理类,523,104327
2023,物理类,522,105372
2023,物理类,521,106375
2023,物理类,520,107386
2023,物理类,519,108391
2023,物理类,518,109392
2023,物理类,517,110348
2023,物理类,516,111339
2023,物理类,515,112371
2023,物理类,514,113412
2023,物理类,513,114462
2023,物理类,512,115419
2023,物理类,511,116463
2023,物理类,510,117453
2023,物理类,509,118484
2023,物理类,508,119495
2023,物理类,507,120486
2023,物理类,506,121516
2023,物理类,505,122563
2023,物理类,504,123513
2023,物理类,503,124505
2023,物理类,502,125541
2023,物理类,501,126588
2023,物理类,500,127538
2023,物理类,499,128535
2023,物理类,498,129552
2023,物理类,497,130481
2023,物理类,496,131452
2023,物理类,495,132433
2023,物理类,494,133441
2023,物理类,493,134436
2023,物理类,492,135454
2023,物理类,491,136409
2023,物理类,490,137354
2023,物理类,489,138274
2023,物理类,488,139208
2023,物理类,487,140150
2023,物理类,486,141124
2023,物理类,485,142059
2023,物理类,484,142974
2023,物理类,483,143882
2023,物理类,482,144814
2023,物理类,481,145762
2023,物理类,480,146747
2023,物理类,479,147716
2023,物理类,478,148669
2023,物理类,477,149565
2023,物理类,476,150469
2023,物理类,475,151397
2023,物理类,474,152315
2023,物理类,473,153184
2023,物理类,472,154057
2023,物理类,471,154931
2023,物理类,470,155785
2023,物理类,469,156709
2023,物理类,468,157548
2023,物理类,467,158486
2023,物理类,466,159348
2023,物理类,465,160211
2023,物理类,464,161010
2023,物理类,463,161813
2023,物理类,462,162620
2023,物理类,461,163419
2023,物理类,460,164240
2023,物理类,459,165041
2023,物理类,458,165876
2023,物理类,457,166664
2023,物理类,456,167463
2023,物理类,455,168261
2023,物理类,454,169034
2023,物理类,453,169837
2023,物理类,452,170594
2023,物理类,451,171362
2023,物理类,450,172069
2023,物理类,449,172775
2023,物理类,448,173523
