year,subject_type,score,rank
2025,历史类,658,109
2025,历史类,657,125
2025,历史类,656,140
2025,历史类,655,156
2025,历史类,654,168
2025,历史类,653,194
2025,历史类,652,214
2025,历史类,651,236
2025,历史类,650,250
2025,历史类,649,275
2025,历史类,648,299
2025,历史类,647,336
2025,历史类,646,381
2025,历史类,645,418
2025,历史类,644,450
2025,历史类,643,497
2025,历史类,642,540
2025,历史类,641,587
2025,历史类,640,626
2025,历史类,639,672
2025,历史类,638,726
2025,历史类,637,775
2025,历史类,636,828
2025,历史类,635,889
2025,历史类,634,958
2025,历史类,633,1032
2025,历史类,632,1111
2025,历史类,631,1171
2025,历史类,630,1250
2025,历史类,629,1337
2025,历史类,628,1416
2025,历史类,627,1489
2025,历史类,626,1599
2025,历史类,625,1693
2025,历史类,624,1795
2025,历史类,623,1928
2025,历史类,622,2030
2025,历史类,621,2130
2025,历史类,620,2253
2025,历史类,619,2383
2025,历史类,618,2510
2025,历史类,617,2644
2025,历史类,616,2784
2025,历史类,615,2944
2025,历史类,614,3092
2025,历史类,613,3261
2025,历史类,612,3431
2025,历史类,611,3605
2025,历史类,610,3741
2025,历史类,609,3921
2025,历史类,608,4104
2025,历史类,607,4269
2025,历史类,606,4462
2025,历史类,605,4658
2025,历史类,604,4889
2025,历史类,603,5101
2025,历史类,602,5300
2025,历史类,601,5558
2025,历史类,600,5796
2025,历史类,599,6031
2025,历史类,598,6276
2025,历史类,597,6526
2025,历史类,596,6765
2025,历史类,595,7023
2025,历史类,594,7287
2025,历史类,593,7551
2025,历史类,592,7818
2025,历史类,591,8106
2025,历史类,590,8399
2025,历史类,589,8707
2025,历史类,588,8976
2025,历史类,587,9329
2025,历史类,586,9628
2025,历史类,585,9942
2025,历史类,584,10245
2025,历史类,583,10538
2025,历史类,582,10856
2025,历史类,581,11172
2025,历史类,580,11515
2025,历史类,579,11880
2025,历史类,578,12244
2025,历史类,577,12628
2025,历史类,576,12977
2025,历史类,575,13339
2025,历史类,574,13709
2025,历史类,573,14117
2025,历史类,572,14483
2025,历史类,571,14850
2025,历史类,570,15246
2025,历史类,569,15613
2025,历史类,568,15975
2025,历史类,567,16346
2025,历史类,566,16741
2025,历史类,565,17140
2025,历史类,564,17574
2025,历史类,563,18005
2025,历史类,562,18396
2025,历史类,561,18813
2025,历史类,560,19224
2025,历史类,559,19646
2025,历史类,558,20075
2025,历史类,557,20493
2025,历史类,556,20940
2025,历史类,555,21405
2025,历史类,554,21861
2025,历史类,553,22327
2025,历史类,552,22801
2025,历史类,551,23247
2025,历史类,550,23719
2025,历史类,549,24175
2025,历史类,548,24649
2025,历史类,547,25115
2025,历史类,546,25582
2025,历史类,545,26047
2025,历史类,544,26540
2025,历史类,543,26982
2025,历史类,542,27430
2025,历史类,541,27904
2025,历史类,540,28408
2025,历史类,539,28888
2025,历史类,538,29351
2025,历史类,537,29839
2025,历史类,536,30301
2025,历史类,535,30732
2025,历史类,534,31200
2025,历史类,533,31664
2025,历史类,532,32121
2025,历史类,531,32597
2025,历史类,530,33083
2025,历史类,529,33554
2025,历史类,528,34079
2025,历史类,527,34549
2025,历史类,526,35055
2025,历史类,525,35556
2025,历史类,524,36049
2025,历史类,523,36538
2025,历史类,522,37028
2025,历史类,521,37529
2025,历史类,520,38007
2025,历史类,519,38488
2025,历史类,518,38960
2025,历史类,517,39428
2025,历史类,516,39909
2025,历史类,515,40423
2025,历史类,514,40897
2025,历史类,513,41387
2025,历史类,512,41862
2025,历史类,511,42335
2025,历史类,510,42789
2025,历史类,509,43275
2025,历史类,508,43730
2025,历史类,507,44233
2025,历史类,506,44712
2025,历史类,505,45257
2025,历史类,504,45734
2025,历史类,503,46229
2025,历史类,502,46678
2025,历史类,501,47156
2025,历史类,500,47639
2025,历史类,499,48117
2025,历史类,498,48630
2025,历史类,497,49120
2025,历史类,496,49577
2025,历史类,495,50065
2025,历史类,494,50536
2025,历史类,493,50998
2025,历史类,492,51495
2025,历史类,491,52005
2025,历史类,490,52535
2025,历史类,489,53003
2025,历史类,488,53482
2025,历史类,487,53920
2025,历史类,486,54407
2025,历史类,485,54928
2025,历史类,484,55402
2025,历史类,483,55915
2025,历史类,482,56398
