university_name,year,subject_type,major_group,subject_requirement,min_score,min_rank
南京大学,2024,物理类,08专业组,化学,667,1405
南京大学,2024,物理类,07专业组,不限,661,2296
南京大学,2024,物理类,11专业组,化学(中外合作),647,5643
南京大学,2024,历史类,03专业组,不限,638,401
东南大学,2024,物理类,06专业组,化学,660,2475
东南大学,2024,物理类,07专业组,不限,656,3228
东南大学,2024,物理类,08专业组,化学,646,5945
东南大学,2024,历史类,03专业组,不限,629,798
中国人民大学(苏州),2024,物理类,04专业组,不限(中外合作),649,5059
东南大学医学院,2024,物理类,06专业组,化学+生物,646,5945
南京大学医学院,2024,物理类,09专业组,化学+生物,663,1987
南京航空航天大学,2024,物理类,04专业组,化学,655,3476
南京航空航天大学,2024,物理类,07专业组,化学,643,6950
南京航空航天大学,2024,物理类,08专业组,化学(中外合作),605,27034
南京航空航天大学,2024,历史类,01专业组,不限,605,3225
南京理工大学,2024,物理类,02专业组,化学,653,3987
南京理工大学,2024,物理类,05专业组,化学,634,10322
南京理工大学,2024,物理类,04专业组,化学(中外合作),601,29982
南京理工大学,2024,历史类,01专业组,不限,602,3681
河海大学,2024,物理类,04专业组,化学,643,6950
河海大学,2024,物理类,05专业组,化学,632,11188
河海大学,2024,物理类,09专业组,不限,623,15669
河海大学,2024,物理类,08专业组,化学(中外合作),589,39949
河海大学,2024,历史类,01专业组,不限,601,3855
苏州大学,2024,物理类,30专业组,化学+生物(临床),645,6275
苏州大学,2024,物理类,14专业组,不限,634,10322
南京师范大学,2024,物理类,19专业组,化学,643,6950
南京师范大学,2024,物理类,16专业组,不限,592,37357
南京师范大学,2024,物理类,24专业组,化学(中外合作),593,36502
南京农业大学,2024,物理类,04专业组,化学,607,25605
南京农业大学,2024,物理类,03专业组,不限,603,28485
中国药科大学,2024,物理类,03专业组,化学,653,3987
中国药科大学,2024,物理类,05专业组,化学(中外合作),599,31527
南京医科大学,2024,物理类,06专业组,化学,636,9521
江南大学,2024,物理类,06专业组,化学,604,27764
江南大学,2024,物理类,04专业组,不限,602,29206
中国矿业大学,2024,物理类,02专业组,不限,601,29982
南京邮电大学,2024,物理类,05专业组,化学,634,10322
南京邮电大学,2024,物理类,07专业组,化学(中外合作),598,32341
南京邮电大学,2024,历史类,02专业组,不限,572,10689
南京信息工程大学,2024,物理类,08专业组,化学,635,9940
南京信息工程大学,2024,物理类,15专业组,化学(中外合作),589,39949
南京工业大学,2024,物理类,10专业组,化学,584,44461
南京审计大学,2024,物理类,05专业组,不限,562,67047
南京审计大学,2024,物理类,09专业组,化学,572,56323
南京审计大学,2024,历史类,01专业组,不限,566,12572
南京财经大学,2024,物理类,08专业组,不限,559,70429
南京财经大学,2024,物理类,06专业组,不限,592,37357
南京财经大学,2024,历史类,01专业组,不限,566,12572
南京林业大学,2024,物理类,08专业组,化学,598,32341
南京中医药大学,2024,物理类,07专业组,化学,628,13036
南通大学,2024,物理类,05专业组,化学,554,76275
徐州医科大学,2024,物理类,06专业组,化学,569,59522
扬州大学,2024,物理类,19专业组,化学,596,33980
江苏大学,2024,物理类,12专业组,化学,606,26287
江苏科技大学,2024,物理类,04专业组,化学,570,58417
南京工程学院,2024,物理类,03专业组,化学,540,86936
苏州科技大学,2024,物理类,13专业组,化学,574,54263
常州大学,2024,物理类,04专业组,化学,547,84717
常熟理工学院,2024,物理类,03专业组,化学,519,120389
江苏师范大学,2024,物理类,07专业组,化学,545,87181
淮阴师范学院,2024,物理类,05专业组,化学,505,138641
盐城师范学院,2024,物理类,04专业组,化学,500,145118
南京晓庄学院,2024,物理类,06专业组,化学,527,110101
江苏理工学院,2024,物理类,04专业组,化学,510,132149
江苏第二师范学院,2024,物理类,05专业组,化学,518,121728
常州工学院,2024,物理类,03专业组,化学,496,150226
徐州工程学院,2024,物理类,04专业组,化学,490,157611
南京特殊教育师范学院,2024,物理类,02专业组,不限,498,147674
金陵科技学院,2024,物理类,04专业组,化学,520,119050
南京工业职业技术大学,2024,物理类,02专业组,化学,485,163468
江苏海洋大学,2024,物理类,04专业组,化学,495,151408
盐城工学院,2024,物理类,03专业组,化学,490,157611
淮阴工学院,2024,物理类,03专业组,化学,486,162352
宿迁学院,2024,物理类,02专业组,不限,482,166885
泰州学院,2024,物理类,04专业组,化学,488,159982
无锡学院,2024,物理类,03专业组,化学,528,108842
苏州城市学院,2024,物理类,04专业组,化学,504,139961
三江学院,2024,物理类,02专业组,不限,472,177856
东南大学成贤学院,2024,物理类,04专业组,化学,474,175746
南京理工大学紫金学院,2024,物理类,06专业组,化学,476,173584
南京航空航天大学金城学院,2024,物理类,05专业组,化学,473,176812
扬州大学广陵学院,2024,物理类,03专业组,不限,470,179916
江苏大学京江学院,2024,物理类,04专业组,化学,468,181983
