university_name,year,subject_type,major_group,subject_requirement,min_score,min_rank
南京大学,2023,物理类,09专业组,化学,668,1291
南京大学,2023,物理类,07专业组,不限,665,1847
南京大学,2023,物理类,10专业组,化学,664,2019
南京大学,2023,物理类,11专业组,化学或生物,664,2019
东南大学,2023,物理类,05专业组,不限,660,2754
东南大学,2023,物理类,06专业组,化学或生物,647,6253
中国人民大学(苏州),2023,物理类,03专业组,不限(中外合作),649,5542
南京航空航天大学,2023,物理类,04专业组,不限,654,4113
南京航空航天大学,2023,物理类,05专业组,不限,651,4919
南京理工大学,2023,物理类,03专业组,不限,653,4396
南京理工大学,2023,物理类,04专业组,不限,649,5542
南京理工大学,2023,物理类,05专业组,不限,644,7265
河海大学,2023,物理类,04专业组,不限,644,7265
河海大学,2023,物理类,05专业组,不限,638,9656
河海大学,2023,物理类,07专业组,不限,621,18502
苏州大学,2023,物理类,30专业组,化学+生物,646,6589
苏州大学,2023,物理类,17专业组,不限,639,9243
南京师范大学,2023,物理类,26专业组,化学或生物,637,10153
南京师范大学,2023,物理类,16专业组,不限,634,11592
南京农业大学,2023,物理类,04专业组,不限,608,26857
中国药科大学,2023,物理类,03专业组,化学,652,4642
中国药科大学,2023,物理类,02专业组,化学,623,17334
南京医科大学,2023,物理类,06专业组,化学或生物,646,6589
江南大学,2023,物理类,08专业组,化学或生物,625,16212
江南大学,2023,物理类,04专业组,不限,602,31134
中国矿业大学,2023,物理类,02专业组,不限,601,31865
南京邮电大学,2023,物理类,06专业组,不限,635,11117
南京邮电大学,2023,物理类,07专业组,不限,613,23567
南京信息工程大学,2023,物理类,10专业组,不限,635,11117
南京信息工程大学,2023,物理类,11专业组,不限,630,13586
南京工业大学,2023,物理类,10专业组,化学,584,45409
南京审计大学,2023,物理类,04专业组,不限,566,61773
南京财经大学,2023,物理类,06专业组,不限,592,38767
南京林业大学,2023,物理类,08专业组,化学,595,36406
南京中医药大学,2023,物理类,13专业组,化学,605,28961
扬州大学,2023,物理类,19专业组,不限,616,21589
江苏大学,2023,物理类,12专业组,不限,606,28267
江苏科技大学,2023,物理类,04专业组,化学,570,57928
南京工程学院,2023,物理类,03专业组,化学,540,86936
苏州科技大学,2023,物理类,13专业组,化学,574,54145
常州大学,2023,物理类,04专业组,化学,547,84717
江苏师范大学,2023,物理类,07专业组,化学,545,87181
金陵科技学院,2023,物理类,04专业组,化学,520,107386
江苏海洋大学,2023,物理类,04专业组,化学,495,132433
盐城工学院,2023,物理类,03专业组,化学,490,137354
